n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
533,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0338862900401346,-0.0903095832430806,-0.0348489902547686,0.0,3,27.42513098379666,71.55387089,50.35366183,-3.415561653,-0.06828535082,-0.05400294283,0.02005663392,0.10255999999999993,0
534,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0339127224036605,-0.0903800275357819,-0.0348761735544993,0.0,2,115.1611460300935,215.8655476,281.0691074,-144.0965349,-0.1491255041,-0.4052250987,0.07645991498,0.10263999999999994,0
535,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0339391547671863,-0.0904504718284832,-0.03490335685423,0.0,2,107.02648167824168,286.2807727,-285.670931,3.533003054,-0.08364626397,0.1576579876,0.09400016084,0.10271999999999992,0
536,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0339655871307121,-0.0905209161211845,-0.0349305401539607,0.0,3,8.436509456019158,-46.68691587,67.5595136,-17.06471677,0.05591429508,-0.06669946236,-0.0291840053,0.10279999999999988,0
537,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.033992019494238,-0.0905913604138858,-0.0349577234536914,0.0,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10287999999999989,1
538,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0340184518577638,-0.0906618047065871,-0.0349849067534221,0.0,3,36.67603723379611,51.22128605,44.302581200000006,-36.2432681,0.03356235118,-0.0299302598899999,0.08077085846,0.10295999999999986,0
539,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0340448842212897,-0.0907322489992885,-0.0350120900531528,0.0,1,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10303999999999995,1
540,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0340713165848155,-0.0908026932919898,-0.0350392733528836,0.0,2,73.40097010416703,-273.27903630000003,-297.2277692,-8.57287696,0.1899751346,0.3303369786999999,-0.0245001446699999,0.10311999999999998,0
541,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0340977489483414,-0.0908731375846911,-0.0350664566526143,0.0,3,64.8168370023149,77.78493462,-17.38605054,25.86211977,-0.09599737848,-0.04954295399,-0.01844404901,0.10319999999999996,0
542,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0341241813118672,-0.0909435818773924,-0.035093639952345,0.0,3,6.449489780093233,-74.42127055,46.09113459,-5.762846681,0.06149706823,-0.06082037621,-0.0318791473,0.10327999999999996,0
543,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0341506136753931,-0.0910140261700937,-0.0351208232520757,0.0,2,65.28163329861093,407.966492,-19.42874675,5.36399852,-0.2573125769,0.03831351337,-0.04248371367,0.10335999999999994,0
544,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0341770460389189,-0.091084470462795,-0.0351480065518064,0.0,3,67.24779765046306,74.7261405,-45.48561134,-6.296556425,-0.1740104458,-0.02551716614,0.02868201672,0.10343999999999991,0
545,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0342034784024448,-0.0911549147554963,-0.0351751898515371,0.0,3,37.76169464120434,-50.60935482,33.0495593,-41.73001,0.06471304267,-0.07620646751,-0.02056467897,0.10351999999999992,0
546,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0342299107659706,-0.0912253590481976,-0.0352023731512678,0.0,2,656.5857455671303,-271.0333637,68.22104889,-220.8591049,0.4018603021,-0.0222624606,0.1748669316,0.1035999999999999,0
547,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0342563431294965,-0.0912958033408989,-0.0352295564509985,0.0,2,81.22848283564879,-15.26970587,-392.3312403,-59.36788772,0.05446270568,0.2355288082,0.1011852071,0.10367999999999991,0
548,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0342827754930223,-0.0913662476336003,-0.0352567397507292,0.0,2,131.87994811342685,353.1919335,200.2512329,-16.1132606,-0.1613022096,-0.04414474891,-0.05852752661,0.10375999999999995,0
549,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0343092078565482,-0.0914366919263016,-0.0352839230504599,0.0,1,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10383999999999996,1
